,max_features,n_estimators,min_samples_split,min_samples_leaf,r2_score,rmse,mae
0,sqrt,100,50,1,0.12665970850538022,6.894418154412456,3.765308718564772
1,sqrt,100,50,5,0.08952241954278417,7.039478714174559,3.8580948163654027
2,sqrt,100,50,10,0.07997425639062683,7.0762938936102,3.9081112787065577
3,sqrt,100,100,1,0.12498216588449684,6.901036497685723,3.7873164229585425
4,sqrt,100,100,5,0.0953745612771737,7.016818937010286,3.8483181247586287
5,sqrt,100,100,10,0.07947910067921282,7.078197859909465,3.903975880294136
6,sqrt,100,200,1,0.12537512352487723,6.8994867466749366,3.8148349939964667
7,sqrt,100,200,5,0.08979090063121742,7.038440738997366,3.870070850523572
8,sqrt,100,200,10,0.07707374548616064,7.087439623123197,3.9217439084431147
9,sqrt,200,50,1,0.1299009680763995,6.881612509494685,3.7572100172810194
10,sqrt,200,50,5,0.09501390416365008,7.018217534359928,3.839962616720682
11,sqrt,200,50,10,0.08093023598023563,7.0726165232856735,3.9006063399971542
12,sqrt,200,100,1,0.12746269538174415,6.891247912253575,3.7810508562462553
13,sqrt,200,100,5,0.09549524009454402,7.016350892658871,3.839974056866389
14,sqrt,200,100,10,0.0825052597422844,7.066553699704032,3.8894571932593722
15,sqrt,200,200,1,0.12422448599618563,6.904023662601946,3.809997147760717
16,sqrt,200,200,5,0.09333070932877308,7.024741137242523,3.8603510773644993
17,sqrt,200,200,10,0.08064557717678,7.073711721261293,3.903199393713423
18,sqrt,500,50,1,0.13244758553380964,6.87153453234042,3.7601169433178283
19,sqrt,500,50,5,0.09624540049125507,7.013440747479594,3.8407985508805713
20,sqrt,500,50,10,0.08291135068395761,7.064989668366851,3.8911673912528992
21,sqrt,500,100,1,0.13036960785794638,6.87975902406843,3.78239477270436
22,sqrt,500,100,5,0.09682528549601188,7.011190334746743,3.8407712438415516
23,sqrt,500,100,10,0.0818537256005698,7.069062315676521,3.8967364171685688
24,sqrt,500,200,1,0.12428999603643609,6.903765439279266,3.810647964480952
25,sqrt,500,200,5,0.09288292201702564,7.026475618431271,3.865746578139573
26,sqrt,500,200,10,0.0797317880787235,7.077226293608543,3.905842461338813
27,0.3333333333333333,100,50,1,0.12845278478800004,6.8873369687563235,3.617518363235997
28,0.3333333333333333,100,50,5,0.10042813596737699,6.997192205825987,3.7022336331144916
29,0.3333333333333333,100,50,10,0.09422583854257094,7.021272615783366,3.71188320722769
30,0.3333333333333333,100,100,1,0.12741564910609282,6.891433694097533,3.642120133536854
31,0.3333333333333333,100,100,5,0.09971243492314918,6.999975141960061,3.713188369669292
32,0.3333333333333333,100,100,10,0.09289756475629474,7.026418907303146,3.7315690547865756
33,0.3333333333333333,100,200,1,0.1218988357384414,6.913184514183217,3.663424927435129
34,0.3333333333333333,100,200,5,0.09538415959550972,7.016781711746861,3.7296624024801224
35,0.3333333333333333,100,200,10,0.0866339631845745,7.050636114650014,3.7557674929339915
36,0.3333333333333333,200,50,1,0.13187227860716388,6.873812542393963,3.605570359870631
37,0.3333333333333333,200,50,5,0.10376441907407497,6.984204750279697,3.6879840575631095
38,0.3333333333333333,200,50,10,0.09771206731133486,7.007747521922413,3.7023759960042777
39,0.3333333333333333,200,100,1,0.13052159066740365,6.879157819923163,3.6264830536440704
40,0.3333333333333333,200,100,5,0.10110576949714767,6.994556271161041,3.7051700518661272
41,0.3333333333333333,200,100,10,0.09490548907296148,7.018637904301201,3.722840519754285
42,0.3333333333333333,200,200,1,0.12392659779831561,6.90519773762308,3.6520250276355135
43,0.3333333333333333,200,200,5,0.09732573517116283,7.009247613115118,3.7222614787678627
44,0.3333333333333333,200,200,10,0.08927286721051708,7.040443371630579,3.7455887724618995
45,0.3333333333333333,500,50,1,0.13125685403532528,6.876248568553593,3.6084589384591026
46,0.3333333333333333,500,50,5,0.10422762518017381,6.982399675548073,3.6837628166386422
47,0.3333333333333333,500,50,10,0.09654726611084252,7.012269360106638,3.7023562269247523
48,0.3333333333333333,500,100,1,0.13243149410718957,6.871598258911361,3.6276700356854947
49,0.3333333333333333,500,100,5,0.1013990669302135,6.993415061939386,3.701557332975271
50,0.3333333333333333,500,100,10,0.0946017403233812,7.019815529193083,3.7207959088811755
51,0.3333333333333333,500,200,1,0.1251655305011895,6.900313385445655,3.6516142040496264
52,0.3333333333333333,500,200,5,0.09789964928224981,7.007019043034181,3.7175540994344596
53,0.3333333333333333,500,200,10,0.08865197100043254,7.042842904732108,3.7395503696608197
54,0.5,100,50,1,0.12302943632943919,6.908732539667779,3.6116757150867653
55,0.5,100,50,5,0.09364245472236687,7.023533354542816,3.6945614073557502
56,0.5,100,50,10,0.09029277966384575,7.036500013012677,3.6946011919229154
57,0.5,100,100,1,0.1254113689701002,6.899343783922235,3.635242031640401
58,0.5,100,100,5,0.09414612700409108,7.021581558207006,3.7057610866780957
59,0.5,100,100,10,0.08539798573476565,7.055405002899935,3.726344092785881
60,0.5,100,200,1,0.11775254678020752,6.929486908694323,3.6520597272545476
61,0.5,100,200,5,0.09040353261648748,7.036071668125314,3.719633706519419
62,0.5,100,200,10,0.07982467016420969,7.076869134621442,3.737497365080614
63,0.5,200,50,1,0.12219045308201193,6.912036484780548,3.6121814558558603
64,0.5,200,50,5,0.09914194688491107,7.0021926387987365,3.6787690876726673
65,0.5,200,50,10,0.09203712238404094,7.029750612349819,3.6842279404701626
66,0.5,200,100,1,0.1286647486570729,6.88649940348263,3.6239675721836475
67,0.5,200,100,5,0.09746899673633302,7.008691379450394,3.6944387368305476
68,0.5,200,100,10,0.08698612530809946,7.049276743779635,3.713555812560938
69,0.5,200,200,1,0.1209777066599318,6.91680953281592,3.644758317774233
70,0.5,200,200,5,0.09280597391662837,7.026773629845114,3.7106105360469654
71,0.5,200,200,10,0.08175593444666218,7.069438766234506,3.729851074560454
72,0.5,500,50,1,0.12425514327637999,6.9039028208811715,3.6089768624721037
73,0.5,500,50,5,0.1002206007707599,6.997999300830167,3.673300236607114
74,0.5,500,50,10,0.09155907013795006,7.031600988572502,3.6844871071001055
75,0.5,500,100,1,0.13109775627623999,6.876878182531245,3.621143245840068
76,0.5,500,100,5,0.09898777486930799,7.002791787557535,3.690192296465383
77,0.5,500,100,10,0.08877427693572293,7.0423703024094175,3.7058343507175753
78,0.5,500,200,1,0.12487772300070543,6.901448342232425,3.6429600114193086
79,0.5,500,200,5,0.09412744415232799,7.0216539664037985,3.7104972308131283
80,0.5,500,200,10,0.08241701590842465,7.06689351898046,3.72578180831014
